"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
2016,"ALABAMA","AL","RANDOLPH",1111,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",2291,10187,20220315,"TOTAL"
2016,"ALABAMA","AL","RANDOLPH",1111,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",7705,10187,20220315,"TOTAL"
2016,"ALABAMA","AL","RANDOLPH",1111,"US PRESIDENT","OTHER","OTHER",191,10187,20220315,"TOTAL"
2016,"ALABAMA","AL","RUSSELL",1113,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",9579,19256,20220315,"TOTAL"
2016,"ALABAMA","AL","RUSSELL",1113,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",9210,19256,20220315,"TOTAL"
2016,"ALABAMA","AL","RUSSELL",1113,"US PRESIDENT","OTHER","OTHER",467,19256,20220315,"TOTAL"
2016,"ALABAMA","AL","ST. CLAIR",1115,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",5589,38400,20220315,"TOTAL"
2016,"ALABAMA","AL","ST. CLAIR",1115,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",31651,38400,20220315,"TOTAL"
2016,"ALABAMA","AL","ST. CLAIR",1115,"US PRESIDENT","OTHER","OTHER",1160,38400,20220315,"TOTAL"
2016,"ALABAMA","AL","SHELBY",1117,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",22977,101254,20220315,"TOTAL"
2016,"ALABAMA","AL","SHELBY",1117,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",73020,101254,20220315,"TOTAL"
2016,"ALABAMA","AL","SHELBY",1117,"US PRESIDENT","OTHER","OTHER",5257,101254,20220315,"TOTAL"
2016,"ALABAMA","AL","SUMTER",1119,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",4746,6411,20220315,"TOTAL"
2016,"ALABAMA","AL","SUMTER",1119,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",1581,6411,20220315,"TOTAL"
2016,"ALABAMA","AL","SUMTER",1119,"US PRESIDENT","OTHER","OTHER",84,6411,20220315,"TOTAL"
2016,"ALABAMA","AL","TALLADEGA",1121,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",12121,33407,20220315,"TOTAL"
2016,"ALABAMA","AL","TALLADEGA",1121,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",20614,33407,20220315,"TOTAL"
2016,"ALABAMA","AL","TALLADEGA",1121,"US PRESIDENT","OTHER","OTHER",672,33407,20220315,"TOTAL"
2016,"ALABAMA","AL","TALLAPOOSA",1123,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",5519,19486,20220315,"TOTAL"
2016,"ALABAMA","AL","TALLAPOOSA",1123,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",13594,19486,20220315,"TOTAL"
2016,"ALABAMA","AL","TALLAPOOSA",1123,"US PRESIDENT","OTHER","OTHER",373,19486,20220315,"TOTAL"
2016,"ALABAMA","AL","TUSCALOOSA",1125,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",31762,82700,20220315,"TOTAL"
2016,"ALABAMA","AL","TUSCALOOSA",1125,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",47723,82700,20220315,"TOTAL"
2016,"ALABAMA","AL","TUSCALOOSA",1125,"US PRESIDENT","OTHER","OTHER",3215,82700,20220315,"TOTAL"
2016,"ALABAMA","AL","WALKER",1127,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",4497,29472,20220315,"TOTAL"
2016,"ALABAMA","AL","WALKER",1127,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",24266,29472,20220315,"TOTAL"
2016,"ALABAMA","AL","WALKER",1127,"US PRESIDENT","OTHER","OTHER",709,29472,20220315,"TOTAL"
2016,"ALABAMA","AL","WASHINGTON",1129,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",2374,8533,20220315,"TOTAL"
2016,"ALABAMA","AL","WASHINGTON",1129,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",6042,8533,20220315,"TOTAL"
2016,"ALABAMA","AL","WASHINGTON",1129,"US PRESIDENT","OTHER","OTHER",117,8533,20220315,"TOTAL"
2016,"ALABAMA","AL","WILCOX",1131,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",4339,6118,20220315,"TOTAL"
2016,"ALABAMA","AL","WILCOX",1131,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",1737,6118,20220315,"TOTAL"
2016,"ALABAMA","AL","WILCOX",1131,"US PRESIDENT","OTHER","OTHER",42,6118,20220315,"TOTAL"
2016,"ALABAMA","AL","WINSTON",1133,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",872,10313,20220315,"TOTAL"
2016,"ALABAMA","AL","WINSTON",1133,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",9228,10313,20220315,"TOTAL"
2016,"ALABAMA","AL","WINSTON",1133,"US PRESIDENT","OTHER","OTHER",213,10313,20220315,"TOTAL"
2016,"ARIZONA","AZ","APACHE",4001,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",17083,27661,20220315,"TOTAL"
